UID,Cat,Valence,Activation,Dominance,Cat_Type,speaker,group
Ses02M_impro04_M020,fru,2,2.3333,2.6667,9,4,imp
Ses02M_impro04_M021,xxx,2,2,2,0,4,imp
Ses02M_impro04_M022,sad,2.6667,1.6667,1.6667,4,4,imp
Ses02M_impro05_F000,neu,3.5,3,2.5,1,3,imp
Ses02M_impro05_F001,neu,3.5,3,3,1,3,imp
Ses02M_impro05_F002,neu,3,2.5,2.5,1,3,imp
Ses02M_impro05_F003,neu,3,3,3,1,3,imp
Ses02M_impro05_F004,neu,3,3,3,1,3,imp
Ses02M_impro05_F005,neu,2.5,3,3,1,3,imp
Ses02M_impro05_F006,neu,2.5,3,3.5,1,3,imp
Ses02M_impro05_F007,neu,2.5,3,3.5,1,3,imp
Ses02M_impro05_F008,neu,3,2.5,2.5,1,3,imp
Ses02M_impro05_F009,neu,3,2.5,2.5,1,3,imp
Ses02M_impro05_F010,neu,3,2.5,2.5,1,3,imp
Ses02M_impro05_F011,neu,2,3,3.5,1,3,imp
Ses02M_impro05_F012,neu,2.5,3,3,1,3,imp
Ses02M_impro05_F013,neu,2.5,3,3,1,3,imp
Ses02M_impro05_F014,neu,2.5,2.5,2.5,1,3,imp
Ses02M_impro05_F015,neu,3,3,3.5,1,3,imp
Ses02M_impro05_F016,neu,3,2.5,2.5,1,3,imp
Ses02M_impro05_F017,neu,2.5,3,2.5,1,3,imp
Ses02M_impro05_F018,neu,2,2.5,3,1,3,imp
Ses02M_impro05_F019,neu,3,2.5,3,1,3,imp
Ses02M_impro05_F020,neu,3,3.5,3.5,1,3,imp
Ses02M_impro05_F021,neu,3,3.5,3,1,3,imp
Ses02M_impro05_F022,fru,2.5,3.5,3,9,3,imp
Ses02M_impro05_F023,neu,2.5,3.5,3,1,3,imp
Ses02M_impro05_F024,neu,2.5,3,3,1,3,imp
Ses02M_impro05_F025,neu,2.5,3,3.5,1,3,imp
Ses02M_impro05_F026,neu,2.5,3,3.5,1,3,imp
Ses02M_impro05_F027,xxx,3,3.5,2,0,3,imp
Ses02M_impro05_F028,fru,2.5,3,4,9,3,imp
Ses02M_impro05_F029,fru,3,3,3.5,9,3,imp
Ses02M_impro05_F030,xxx,3.5,2.5,3,0,3,imp
Ses02M_impro05_M000,neu,3.5,3,2.5,1,4,imp
Ses02M_impro05_M001,neu,3,2.5,3,1,4,imp
Ses02M_impro05_M002,neu,3,3.5,3,1,4,imp
Ses02M_impro05_M003,neu,3,3.5,2.5,1,4,imp
Ses02M_impro05_M004,sur,2.5,3.5,3.5,6,4,imp
Ses02M_impro05_M005,xxx,2.5,3.5,3.5,0,4,imp
Ses02M_impro05_M006,fru,2.5,3.5,3.5,9,4,imp
Ses02M_impro05_M007,xxx,2.5,3.5,3.5,0,4,imp
Ses02M_impro05_M008,fru,2.5,4,3.5,9,4,imp
Ses02M_impro05_M009,xxx,2.5,3.5,3.5,0,4,imp
Ses02M_impro05_M010,fru,2.5,4,4,9,4,imp
Ses02M_impro05_M011,fru,2,4,4,9,4,imp
Ses02M_impro05_M012,xxx,1.5,3,3,0,4,imp
Ses02M_impro05_M013,ang,2,4.5,4,3,4,imp
Ses02M_impro05_M014,fru,2,3.5,4,9,4,imp
Ses02M_impro05_M015,xxx,2,3.5,4,0,4,imp
Ses02M_impro05_M016,ang,2,4,4,3,4,imp
Ses02M_impro05_M017,fru,1.5,3,3.5,9,4,imp
Ses02M_impro05_M018,ang,2,4,4,3,4,imp
Ses02M_impro05_M019,fru,2.5,4,4,9,4,imp
Ses02M_impro05_M020,fru,2,4,4,9,4,imp
Ses02M_impro05_M021,fru,3,4,4,9,4,imp
Ses02M_impro05_M022,xxx,2.5,4.5,4.5,0,4,imp
Ses02M_impro05_M023,fru,2,4,4,9,4,imp
Ses02M_impro05_M024,fru,1.5,4.5,5,9,4,imp
Ses02M_impro05_M025,ang,1.5,4,4.5,3,4,imp
Ses02M_impro05_M026,ang,2,4,4,3,4,imp
Ses02M_impro05_M027,fru,2,3.5,3.5,9,4,imp
Ses02M_impro05_M028,fru,2,4,4.5,9,4,imp
Ses02M_impro06_F000,xxx,2.5,2,2.5,0,3,imp
Ses02M_impro06_F001,sur,1.5,2.5,4,6,3,imp
Ses02M_impro06_F002,sad,1.5,1.5,2.5,4,3,imp
Ses02M_impro06_F003,sad,1.5,2,3.5,4,3,imp
Ses02M_impro06_F004,sad,2,2.5,3.5,4,3,imp
Ses02M_impro06_F005,sad,2,2,3,4,3,imp
Ses02M_impro06_F006,sad,2.5,1.5,2.5,4,3,imp
Ses02M_impro06_F007,sad,2.5,1,2,4,3,imp
Ses02M_impro06_F008,sad,2,2.5,3,4,3,imp
Ses02M_impro06_F009,sad,2.5,2.5,3,4,3,imp
Ses02M_impro06_F010,sad,3.5,2,3,4,3,imp
Ses02M_impro06_F011,sad,2.5,1.5,2.5,4,3,imp
Ses02M_impro06_F012,sad,3,2,3.5,4,3,imp
Ses02M_impro06_F013,sad,2.5,2,3,4,3,imp
Ses02M_impro06_F014,sad,2,1.5,2.5,4,3,imp
Ses02M_impro06_F015,sad,2.5,1.5,2.5,4,3,imp
Ses02M_impro06_F016,sad,2.5,1.5,2.5,4,3,imp
Ses02M_impro06_F017,sad,2.5,2,2.5,4,3,imp
Ses02M_impro06_F018,sad,2.5,2,3,4,3,imp
Ses02M_impro06_M000,sad,2,1.5,2.5,4,4,imp
Ses02M_impro06_M001,sad,1.5,2.5,2.5,4,4,imp
Ses02M_impro06_M002,sad,1.5,2.5,3.5,4,4,imp
Ses02M_impro06_M003,sad,1.5,2,3.5,4,4,imp
Ses02M_impro06_M004,sad,1.5,1.5,4,4,4,imp
Ses02M_impro06_M005,sad,1.5,2.5,3.5,4,4,imp
Ses02M_impro06_M006,sad,1.5,2,3.5,4,4,imp
Ses02M_impro06_M007,sad,2,2,3.5,4,4,imp
Ses02M_impro06_M008,sad,1.5,2.5,3.5,4,4,imp
Ses02M_impro06_M009,sad,2,3,4,4,4,imp
Ses02M_impro06_M010,sad,2.5,2,2.5,4,4,imp
Ses02M_impro06_M011,sad,2.5,2,3.5,4,4,imp
Ses02M_impro06_M012,sad,3,2,3.5,4,4,imp
Ses02M_impro06_M013,sad,2,1.5,3,4,4,imp
Ses02M_impro06_M014,sad,3,2.5,3,4,4,imp
Ses02M_impro06_M015,sad,2,1.5,3,4,4,imp
Ses02M_impro06_M016,sad,1,3.5,4.5,4,4,imp
Ses02M_impro06_M017,sad,1.5,3,4.5,4,4,imp
Ses02M_impro06_M018,sad,1.5,2.5,3.5,4,4,imp
Ses02M_impro06_M019,sad,2,2,4,4,4,imp
Ses02M_impro06_M020,sad,2.5,2.5,2.5,4,4,imp
Ses02M_impro06_M021,sad,2,2,3,4,4,imp
Ses02M_impro06_M022,sad,2.5,3,3,4,4,imp
Ses02M_impro06_M023,sad,2.5,2.5,2.5,4,4,imp
Ses02M_impro07_F000,exc,3.5,3.5,3,5,3,imp
Ses02M_impro07_F001,exc,4,3,2.5,5,3,imp
Ses02M_impro07_F002,sur,5,4.5,4,6,3,imp
Ses02M_impro07_F003,exc,4.5,4,3.5,5,3,imp
Ses02M_impro07_F004,exc,4.5,4.5,4,5,3,imp
Ses02M_impro07_F005,exc,4.5,4,3.5,5,3,imp
Ses02M_impro07_F006,exc,5,4.5,4,5,3,imp
Ses02M_impro07_F007,exc,4,3.5,4,5,3,imp
Ses02M_impro07_F008,exc,4,3,3,5,3,imp
Ses02M_impro07_F009,exc,3,3.5,3,5,3,imp
Ses02M_impro07_F010,exc,4.5,4,4,5,3,imp
Ses02M_impro07_F011,exc,4,3,3,5,3,imp
Ses02M_impro07_F012,exc,4.5,3.5,3,5,3,imp
Ses02M_impro07_F013,exc,4.5,4.5,3.5,5,3,imp
Ses02M_impro07_F014,hap,4,4.5,3.5,2,3,imp
Ses02M_impro07_F015,hap,3.5,2.5,3,2,3,imp
Ses02M_impro07_F016,hap,3.5,3,3,2,3,imp
Ses02M_impro07_F017,hap,3.5,3,3.5,2,3,imp
Ses02M_impro07_F018,hap,4.5,4.5,4,2,3,imp
Ses02M_impro07_F019,hap,3.5,2.5,3.5,2,3,imp
Ses02M_impro07_F020,hap,4,3,3,2,3,imp
Ses02M_impro07_F021,hap,3.5,2.5,3,2,3,imp
Ses02M_impro07_F022,exc,4.5,4.5,3.5,5,3,imp
Ses02M_impro07_F023,exc,3.5,3.5,3,5,3,imp
Ses02M_impro07_F024,hap,4,3.5,3,2,3,imp
Ses02M_impro07_F025,exc,4,3.5,3.5,5,3,imp
Ses02M_impro07_F026,exc,4,3,3.5,5,3,imp
Ses02M_impro07_F027,exc,3.5,2.5,3.5,5,3,imp
Ses02M_impro07_F028,hap,4,3,3.5,2,3,imp
Ses02M_impro07_F029,hap,4,3,3,2,3,imp
Ses02M_impro07_M000,xxx,4,4,3.5,0,4,imp
Ses02M_impro07_M001,xxx,4,3,3.5,0,4,imp
Ses02M_impro07_M002,exc,5,4,4,5,4,imp
Ses02M_impro07_M003,xxx,4.5,3.5,3.5,0,4,imp
Ses02M_impro07_M004,xxx,4,4,4,0,4,imp
Ses02M_impro07_M005,xxx,4,4,4,0,4,imp
Ses02M_impro07_M006,exc,4.5,4.5,4.5,5,4,imp
Ses02M_impro07_M007,exc,4.5,4,4.5,5,4,imp
Ses02M_impro07_M008,exc,3.5,3,3.5,5,4,imp
Ses02M_impro07_M009,hap,3,4,4,2,4,imp
Ses02M_impro07_M010,hap,3,3,2.5,2,4,imp
Ses02M_impro07_M011,hap,3.5,2.5,2.5,2,4,imp
Ses02M_impro07_M012,xxx,4,3.5,3,0,4,imp
Ses02M_impro07_M013,exc,3.5,3,3,5,4,imp
Ses02M_impro07_M014,exc,4.5,3.5,4,5,4,imp
Ses02M_impro07_M015,exc,4.5,4,4,5,4,imp
Ses02M_impro07_M016,xxx,4,4,4.5,0,4,imp
Ses02M_impro07_M017,exc,4,3.5,3.5,5,4,imp
Ses02M_impro07_M018,exc,3.5,3,3,5,4,imp
Ses02M_impro07_M019,exc,4.5,4,3,5,4,imp
Ses02M_impro07_M020,exc,4.5,4,4,5,4,imp
Ses02M_impro07_M021,exc,4.5,3.5,4.5,5,4,imp
Ses02M_impro07_M022,exc,3.5,2.5,2.5,5,4,imp
Ses02M_impro07_M023,hap,3.5,4,2.5,2,4,imp
Ses02M_impro07_M024,hap,3,3.5,2.5,2,4,imp
Ses02M_impro07_M025,hap,3.5,3.5,4,2,4,imp
Ses02M_impro07_M026,hap,4,4,4,2,4,imp
Ses02M_impro07_M027,xxx,4,4.5,4,0,4,imp
Ses02M_impro07_M028,xxx,4.5,3.5,3.5,0,4,imp
Ses02M_impro07_M029,exc,3.5,4,4,5,4,imp
Ses02M_impro07_M030,hap,4,2.5,3.5,2,4,imp
Ses02M_impro07_M031,exc,4,4,3.5,5,4,imp
Ses02M_impro07_M032,exc,4.5,3,4,5,4,imp
Ses02M_impro08_F000,exc,4,3.6667,2.6667,5,3,imp
Ses02M_impro08_F001,exc,3,4,3.3333,5,3,imp
Ses02M_impro08_F002,exc,2.6667,3.6667,3.3333,5,3,imp
Ses02M_impro08_F003,fru,2.3333,3.6667,3,9,3,imp
Ses02M_impro08_F004,fru,2,4.3333,3.3333,9,3,imp
Ses02M_impro08_F005,fru,2,4,3.3333,9,3,imp
Ses02M_impro08_F006,neu,3.6667,3.6667,2.3333,1,3,imp
Ses02M_impro08_F007,neu,2.6667,3.6667,2.6667,1,3,imp
Ses02M_impro08_F008,neu,3,3.6667,2.6667,1,3,imp
Ses02M_impro08_F009,fru,2,3.6667,3,9,3,imp
Ses02M_impro08_F010,neu,3,3.3333,2,1,3,imp
Ses02M_impro08_F011,fru,2.6667,3.3333,2,9,3,imp
Ses02M_impro08_F012,xxx,2.6667,3.3333,2,0,3,imp
Ses02M_impro08_F013,xxx,3.6667,3.6667,2.3333,0,3,imp
Ses02M_impro08_F014,xxx,3,3.6667,2.6667,0,3,imp
Ses02M_impro08_F015,xxx,2.6667,3,2,0,3,imp
Ses02M_impro08_F016,fru,2.3333,3,2.6667,9,3,imp
Ses02M_impro08_F017,xxx,2.3333,3,2.6667,0,3,imp
Ses02M_impro08_F018,fea,2,3,2.3333,7,3,imp
Ses02M_impro08_F019,neu,2.6667,2.6667,2,1,3,imp
Ses02M_impro08_F020,sur,4,3.6667,2.3333,6,3,imp
Ses02M_impro08_F021,xxx,4,3,3,0,3,imp
Ses02M_impro08_F022,xxx,3.3333,3.3333,2.6667,0,3,imp
Ses02M_impro08_F023,hap,4,3,2.3333,2,3,imp
Ses02M_impro08_F024,hap,3,2.3333,2,2,3,imp
Ses02M_impro08_F025,neu,3.6667,3.3333,2.3333,1,3,imp
Ses02M_impro08_F026,neu,3.3333,2.6667,2,1,3,imp
Ses02M_impro08_F027,neu,3.6667,2.6667,2,1,3,imp
Ses02M_impro08_F028,hap,4,3,3,2,3,imp
Ses02M_impro08_F029,xxx,4,2.6667,2.3333,0,3,imp
Ses02M_impro08_F030,hap,3.6667,3,2.3333,2,3,imp
Ses02M_impro08_M000,neu,3.6667,3,2.6667,1,4,imp
Ses02M_impro08_M001,xxx,4,3,2.6667,0,4,imp
Ses02M_impro08_M002,neu,3.3333,3,2.6667,1,4,imp
Ses02M_impro08_M003,neu,3.6667,3.3333,3,1,4,imp
Ses02M_impro08_M004,neu,3.6667,3.6667,3,1,4,imp
Ses02M_impro08_M005,neu,4,3.6667,2.6667,1,4,imp
Ses02M_impro08_M006,xxx,4,3.3333,2.6667,0,4,imp
Ses02M_impro08_M007,neu,3,3.3333,2.6667,1,4,imp
Ses02M_impro08_M008,neu,3,3.3333,2.6667,1,4,imp
Ses02M_impro08_M009,neu,3.6667,3,2.6667,1,4,imp
Ses02M_impro08_M010,neu,3,3,3,1,4,imp
Ses02M_impro08_M011,neu,3,3.3333,3,1,4,imp
Ses02M_impro08_M012,neu,3,2.6667,2.6667,1,4,imp
Ses02M_impro08_M013,neu,3,3,2.6667,1,4,imp
Ses02M_impro08_M014,neu,3.3333,3.3333,2.3333,1,4,imp
Ses02M_impro08_M015,neu,3,3.3333,2.6667,1,4,imp
Ses02M_impro08_M016,neu,3,2.6667,2.6667,1,4,imp
Ses02M_impro08_M017,neu,3,3,3,1,4,imp
Ses02M_impro08_M018,neu,3,2.3333,2.3333,1,4,imp
Ses02M_impro08_M019,neu,3,2.6667,2.6667,1,4,imp
Ses02M_impro08_M020,neu,3,2.3333,3,1,4,imp
Ses02M_impro08_M021,neu,3.3333,2.6667,3,1,4,imp
Ses02M_impro08_M022,neu,3,2.6667,2.6667,1,4,imp
Ses02M_impro08_M023,neu,3,3,2,1,4,imp
Ses02M_impro08_M024,neu,3,3.3333,2.6667,1,4,imp
Ses02M_impro08_M025,neu,3,3.6667,2.6667,1,4,imp
Ses02M_impro08_M026,neu,3.3333,2.6667,2.6667,1,4,imp
Ses02M_impro08_M027,neu,3.3333,3,3,1,4,imp
Ses02M_impro08_M028,neu,3,3,3,1,4,imp
Ses02M_impro08_M029,neu,3,3.6667,3.3333,1,4,imp
Ses02M_impro08_M030,neu,3.3333,2.6667,2.6667,1,4,imp
Ses02M_impro08_M031,neu,3.3333,3,2.3333,1,4,imp
Ses02M_script01_1_F000,xxx,3,3,3,0,3,scr
Ses02M_script01_1_F001,xxx,2,2.5,3,0,3,scr
Ses02M_script01_1_F002,xxx,2.5,2.5,3,0,3,scr
Ses02M_script01_1_F003,xxx,2,2.5,3.5,0,3,scr
Ses02M_script01_1_F004,xxx,2.5,2.5,2.5,0,3,scr
Ses02M_script01_1_F005,xxx,2,2,3,0,3,scr
Ses02M_script01_1_F006,xxx,2,3.5,4.5,0,3,scr
Ses02M_script01_1_F007,xxx,2.5,3,4,0,3,scr
Ses02M_script01_1_F008,xxx,3,2.5,3,0,3,scr
Ses02M_script01_1_F009,xxx,3,2,3,0,3,scr
Ses02M_script01_1_F010,fru,2.5,2.5,3.5,9,3,scr
Ses02M_script01_1_F011,fru,2,3.5,3.5,9,3,scr
Ses02M_script01_1_F012,fru,2,2.5,3.5,9,3,scr
Ses02M_script01_1_F013,fru,2,3.5,4.5,9,3,scr
Ses02M_script01_1_F014,xxx,2,4,4,0,3,scr
Ses02M_script01_1_F015,neu,3,2.5,3,1,3,scr
Ses02M_script01_1_F016,xxx,3,3.5,3.5,0,3,scr
Ses02M_script01_1_F017,fru,3,2.5,3,9,3,scr
Ses02M_script01_1_F018,neu,2,3,2.5,1,3,scr
Ses02M_script01_1_F019,fru,2,2.5,3,9,3,scr
Ses02M_script01_1_F020,xxx,2,3,4,0,3,scr
Ses02M_script01_1_F021,neu,2,3.5,4.5,1,3,scr
Ses02M_script01_1_F022,fru,2,3.5,4,9,3,scr
Ses02M_script01_1_F023,neu,3.5,3,3.5,1,3,scr
Ses02M_script01_1_F024,fru,2.5,2.5,4,9,3,scr
Ses02M_script01_1_F025,neu,2.5,2.5,3.5,1,3,scr
Ses02M_script01_1_F026,ang,2,3,4,3,3,scr
Ses02M_script01_1_F027,ang,2,3,4.5,3,3,scr
Ses02M_script01_1_F028,fru,1.5,4,4.5,9,3,scr
Ses02M_script01_1_F029,fru,1.5,4,5,9,3,scr
Ses02M_script01_1_F030,fru,1.5,3.5,4.5,9,3,scr
Ses02M_script01_1_F031,xxx,2,3,3.5,0,3,scr
Ses02M_script01_1_F032,ang,2,3.5,4,3,3,scr
Ses02M_script01_1_F033,ang,1.5,4,4.5,3,3,scr
Ses02M_script01_1_F034,ang,1.5,3.5,4.5,3,3,scr
Ses02M_script01_1_F035,ang,2,3,4.5,3,3,scr
Ses02M_script01_1_F036,ang,2,3.5,4,3,3,scr
Ses02M_script01_1_F037,ang,2,3.5,3.5,3,3,scr
Ses02M_script01_1_F038,xxx,1,4,5,0,3,scr
Ses02M_script01_1_F039,fru,2,3,3.5,9,3,scr
Ses02M_script01_1_F040,fru,2,2.5,3.5,9,3,scr
Ses02M_script01_1_F041,sad,3,2,2.5,4,3,scr
Ses02M_script01_1_M000,xxx,3,2.5,2.5,0,4,scr
Ses02M_script01_1_M001,xxx,2.5,2.5,3.5,0,4,scr
Ses02M_script01_1_M002,xxx,2.5,2.5,4,0,4,scr
Ses02M_script01_1_M003,sad,2,3,3.5,4,4,scr
Ses02M_script01_1_M004,sad,2.5,2.5,3.5,4,4,scr
Ses02M_script01_1_M005,sad,2,2.5,3,4,4,scr
Ses02M_script01_1_M006,xxx,2,2.5,2.5,0,4,scr
Ses02M_script01_1_M007,xxx,2.5,2.5,4,0,4,scr
Ses02M_script01_1_M008,xxx,2.5,3.5,4,0,4,scr
Ses02M_script01_1_M009,fru,2.5,3.5,4.5,9,4,scr
Ses02M_script01_1_M010,fru,2,3.5,4,9,4,scr
Ses02M_script01_1_M011,fru,2,4,4,9,4,scr
Ses02M_script01_1_M012,ang,2.5,3.5,4.5,3,4,scr
Ses02M_script01_1_M013,ang,1.5,4,4.5,3,4,scr
Ses02M_script01_1_M014,xxx,2.5,2.5,3,0,4,scr
Ses02M_script01_1_M015,fru,2.5,3,3.5,9,4,scr
Ses02M_script01_1_M016,neu,3,2.5,3.5,1,4,scr
Ses02M_script01_1_M017,neu,3,2.5,4,1,4,scr
Ses02M_script01_1_M018,neu,3,2.5,3.5,1,4,scr
Ses02M_script01_1_M019,fru,2,2.5,3.5,9,4,scr
Ses02M_script01_1_M020,fru,2,3.5,4,9,4,scr
Ses02M_script01_1_M021,ang,2.5,3.5,3.5,3,4,scr
Ses02M_script01_1_M022,xxx,1.5,4.5,4.5,0,4,scr
Ses02M_script01_1_M023,fru,1.5,3.5,4.5,9,4,scr
Ses02M_script01_1_M024,ang,1.5,3.5,4.5,3,4,scr
Ses02M_script01_1_M025,ang,1.5,4,5,3,4,scr
Ses02M_script01_1_M026,neu,2.5,2.5,3,1,4,scr
Ses02M_script01_1_M027,neu,2,3.5,3.5,1,4,scr
Ses02M_script01_1_M028,sad,2,3.5,4.5,4,4,scr
Ses02M_script01_1_M029,fru,2,3,4,9,4,scr
Ses02M_script01_1_M030,fru,3,2.5,3.5,9,4,scr
Ses02M_script01_1_M031,fru,1.5,4,4.5,9,4,scr
Ses02M_script01_1_M032,xxx,1.5,3,3.5,0,4,scr
Ses02M_script01_1_M033,xxx,2,3,3.5,0,4,scr
Ses02M_script01_1_M034,xxx,1.5,4,4.5,0,4,scr
Ses02M_script01_1_M035,sad,2,3,4,4,4,scr
Ses02M_script01_1_M036,sad,2,3,4,4,4,scr
Ses02M_script01_1_M037,ang,1.5,3.5,4.5,3,4,scr
Ses02M_script01_1_M038,ang,2,3,4.5,3,4,scr
Ses02M_script01_1_M039,ang,1.5,4,5,3,4,scr
Ses02M_script01_1_M040,xxx,2,4,4.5,0,4,scr
Ses02M_script01_1_M041,sad,3,2.5,3.5,4,4,scr
Ses02M_script01_1_M042,fru,2.5,3,4,9,4,scr
Ses02M_script01_1_M043,fru,2,3,3.5,9,4,scr
Ses02M_script01_1_M044,fru,3,3,3.5,9,4,scr
Ses02M_script01_1_M045,xxx,2.5,2.5,3.5,0,4,scr
Ses02M_script01_2_F000,ang,2.3333,3,3.3333,3,3,scr
Ses02M_script01_2_F001,ang,2,3.6667,3.3333,3,3,scr
Ses02M_script01_2_F002,ang,2.6667,2.3333,3.3333,3,3,scr
Ses02M_script01_2_F003,ang,2.6667,3,3,3,3,scr
Ses02M_script01_2_F004,xxx,3,3.3333,3,0,3,scr
Ses02M_script01_2_F005,ang,2,3.3333,3.3333,3,3,scr
Ses02M_script01_2_F006,ang,2,4,4,3,3,scr
Ses02M_script01_2_F007,fru,2,4,4,9,3,scr
Ses02M_script01_2_F008,fru,2.6667,3.6667,3.3333,9,3,scr
Ses02M_script01_2_F009,fru,2,3.3333,3.3333,9,3,scr
Ses02M_script01_2_F010,ang,1.6667,4,3.6667,3,3,scr
Ses02M_script01_2_F011,fru,1.6667,3.3333,3.6667,9,3,scr
Ses02M_script01_2_F012,xxx,1.3333,4.3333,3.6667,0,3,scr
Ses02M_script01_2_F013,sad,1.6667,3.6667,2.6667,4,3,scr
Ses02M_script01_2_F014,fru,2.3333,3.6667,3.6667,9,3,scr
Ses02M_script01_2_F015,fru,2.3333,3.3333,3,9,3,scr
Ses02M_script01_2_F016,fru,2.3333,3,3,9,3,scr
Ses02M_script01_2_F017,fru,1.3333,4,3,9,3,scr
Ses02M_script01_2_M000,xxx,2.6667,3,2.6667,0,4,scr
Ses02M_script01_2_M001,neu,3,3,3,1,4,scr
Ses02M_script01_2_M002,fru,3,3,3,9,4,scr
Ses02M_script01_2_M003,fru,2.6667,2.6667,3,9,4,scr
Ses02M_script01_2_M004,neu,3,3.3333,2.6667,1,4,scr
Ses02M_script01_2_M005,neu,3,2.6667,2.6667,1,4,scr
Ses02M_script01_2_M006,xxx,3,3,3.3333,0,4,scr
Ses02M_script01_2_M007,neu,2.6667,2.6667,3,1,4,scr
Ses02M_script01_2_M008,fru,3,2.6667,3,9,4,scr
Ses02M_script01_2_M009,fru,3,3,3,9,4,scr
Ses02M_script01_2_M010,fru,2.3333,3.6667,2.6667,9,4,scr
Ses02M_script01_2_M011,fru,2.3333,2.6667,1.6667,9,4,scr
Ses02M_script01_2_M012,fru,3,3,3.3333,9,4,scr
Ses02M_script01_2_M013,fru,2.6667,2.6667,3.6667,9,4,scr
Ses02M_script01_2_M014,fru,2,3.6667,4,9,4,scr
Ses02M_script01_2_M015,xxx,2,3.6667,3.6667,0,4,scr
Ses02M_script01_2_M016,ang,2.3333,3.6667,3.3333,3,4,scr
Ses02M_script01_2_M017,ang,2.3333,3.6667,3.6667,3,4,scr
Ses02M_script01_2_M018,fru,1.6667,3.3333,4.3333,9,4,scr
Ses02M_script01_3_F000,xxx,4,3,3,0,3,scr
Ses02M_script01_3_F001,hap,4,3.5,3,2,3,scr
Ses02M_script01_3_F002,hap,4,3,3.5,2,3,scr
Ses02M_script01_3_F003,hap,3.5,2.5,3,2,3,scr
Ses02M_script01_3_F004,xxx,3.5,3.5,2.5,0,3,scr
Ses02M_script01_3_F005,xxx,2.5,3.5,2.5,0,3,scr
Ses02M_script01_3_F006,xxx,3.5,3,3,0,3,scr
Ses02M_script01_3_F007,hap,3,3,3.5,2,3,scr
Ses02M_script01_3_F008,neu,2.5,2.5,3,1,3,scr
Ses02M_script01_3_F009,hap,4,3.5,3.5,2,3,scr
Ses02M_script01_3_F010,xxx,3,3.5,3.5,0,3,scr
Ses02M_script01_3_F011,xxx,3,2.5,3,0,3,scr
Ses02M_script01_3_F012,hap,4,3,3,2,3,scr
Ses02M_script01_3_F013,hap,4,3,3.5,2,3,scr
Ses02M_script01_3_F014,xxx,4,4.5,4,0,3,scr
Ses02M_script01_3_F015,xxx,4.5,4.5,4.5,0,3,scr
Ses02M_script01_3_F016,xxx,3.5,3,3,0,3,scr
Ses02M_script01_3_F017,xxx,2.5,3,3,0,3,scr
Ses02M_script01_3_F018,xxx,2,3.5,3,0,3,scr
Ses02M_script01_3_F019,sad,2,2.5,3.5,4,3,scr
Ses02M_script01_3_F020,xxx,3,2,3,0,3,scr
Ses02M_script01_3_F021,sad,2,2,3.5,4,3,scr
Ses02M_script01_3_F022,xxx,3.5,2.5,3,0,3,scr
Ses02M_script01_3_F023,xxx,2.5,3,3,0,3,scr
Ses02M_script01_3_F024,xxx,1.5,3,3.5,0,3,scr
Ses02M_script01_3_F025,sad,2.5,2.5,3.5,4,3,scr
Ses02M_script01_3_F026,sad,2,3.5,4.5,4,3,scr
Ses02M_script01_3_F027,sad,2.5,4,4,4,3,scr
Ses02M_script01_3_F028,hap,4,3.5,4,2,3,scr
Ses02M_script01_3_M000,hap,4,2.5,3,2,4,scr
Ses02M_script01_3_M001,xxx,3,3,2,0,4,scr
Ses02M_script01_3_M002,xxx,3,2.5,3,0,4,scr
Ses02M_script01_3_M003,xxx,2.5,2,2.5,0,4,scr
Ses02M_script01_3_M004,sur,2.5,2.5,3,6,4,scr
Ses02M_script01_3_M005,fru,3.5,3,3.5,9,4,scr
Ses02M_script01_3_M006,xxx,3,2,3,0,4,scr
Ses02M_script01_3_M007,xxx,3,3,3,0,4,scr
Ses02M_script01_3_M008,xxx,4,4,4,0,4,scr
Ses02M_script01_3_M009,xxx,4,4,4,0,4,scr
Ses02M_script01_3_M010,exc,4,4,4,5,4,scr
Ses02M_script01_3_M011,xxx,3.5,3.5,4,0,4,scr
Ses02M_script01_3_M012,xxx,3,3.5,3,0,4,scr
Ses02M_script01_3_M013,sur,3,3,2.5,6,4,scr
Ses02M_script01_3_M014,exc,4,3.5,3.5,5,4,scr
Ses02M_script01_3_M015,exc,3.5,3,3.5,5,4,scr
Ses02M_script01_3_M016,xxx,4,4,4.5,0,4,scr
Ses02M_script01_3_M017,xxx,4.5,4.5,4.5,0,4,scr
Ses02M_script01_3_M018,xxx,4.5,4.5,4.5,0,4,scr
Ses02M_script01_3_M019,xxx,2.5,2,2,0,4,scr
Ses02M_script01_3_M020,sad,3,3.5,3.5,4,4,scr
Ses02M_script01_3_M021,sad,2,2.5,2.5,4,4,scr
Ses02M_script01_3_M022,sad,2.5,3,3,4,4,scr
Ses02M_script01_3_M023,xxx,2,2,2.5,0,4,scr
Ses02M_script01_3_M024,xxx,2.5,2.5,3,0,4,scr
Ses02M_script01_3_M025,sad,2,2,3,4,4,scr
Ses02M_script01_3_M026,sad,2,2.5,3,4,4,scr
Ses02M_script01_3_M027,sad,2,3,3.5,4,4,scr
Ses02M_script01_3_M028,sad,3,3.5,4,4,4,scr
Ses02M_script01_3_M029,sad,2,3.5,4.5,4,4,scr
Ses02M_script01_3_M030,sad,2,3,4.5,4,4,scr
Ses02M_script01_3_M031,sad,2.5,4,4.5,4,4,scr
Ses02M_script01_3_M032,sad,1.5,3.5,4.5,4,4,scr
